Year,iso3_d,PartnerDesc,PrimaryValue,pv_o,pv_d,dist,gdp_ppp_d,gdp_source_o,gdp_source_d,fta_wto
1998,AZE,Azerbaijan,4520.0,0.957362711429596,-0.7022884488105774,6741.0,22958395.782,3.0,1.0,0.0
1998,ARG,Argentina,1425274.0,0.957362711429596,-0.1346495896577835,18940.0,439701467.33,3.0,1.0,0.0
1998,AUS,Australia,27235750.0,0.957362711429596,1.066501259803772,7236.0,453669650.623,3.0,1.0,0.0
1998,AUT,Austria,4461680.0,0.957362711429596,1.1106005907058716,9014.0,211999971.853,3.0,1.0,0.0
1998,BHR,Bahrain,6347.0,0.957362711429596,-0.16236010193824768,7024.0,21010290.053,3.0,1.0,0.0
1998,BGD,Bangladesh,538.0,0.957362711429596,-0.37074676156044006,3147.0,149635575.668,3.0,1.0,0.0
1998,ARM,Armenia,9221.0,0.957362711429596,-0.6627873182296753,7195.0,6264326.459,3.0,1.0,0.0
1998,BEL,Belgium-Luxembourg (...1998),19643288.0,0.957362711429596,1.024129867553711,9598.0,250372104.048,3.0,1.0,0.0
1998,BRA,Brazil,8315848.0,0.957362711429596,-0.33950579166412354,18812.0,1454474765.595,3.0,1.0,0.0
1998,BGR,Bulgaria,301298.0,0.957362711429596,0.5750252604484558,8790.0,49599901.574,3.0,1.0,0.0
1998,BLR,Belarus,84375.0,0.957362711429596,0.10947556048631668,8045.0,52661959.073,3.0,1.0,0.0
1998,CAN,Canada,58861420.0,0.957362711429596,0.9508812427520752,12104.0,790002907.847,3.0,1.0,0.0
1998,LKA,Sri Lanka,37664.0,0.957362711429596,-1.4828401803970337,4855.0,71863678.738,3.0,1.0,0.0
1998,CHL,Chile,82426.0,0.957362711429596,0.03328128159046173,18517.0,135394396.265,3.0,1.0,0.0
1998,CHN,China,86685288.0,0.957362711429596,-0.3941052258014679,688.0,3053459681.147,3.0,1.0,0.0
1998,COL,Colombia,19310.0,0.957362711429596,-1.793921709060669,16327.0,256155274.21,3.0,1.0,0.0
1998,CRI,Costa Rica,20958.0,0.957362711429596,0.9037289619445801,15258.0,27450643.062,3.0,1.0,0.0
1998,HRV,Croatia,369568.0,0.957362711429596,0.06788596510887146,9165.0,44241417.192,3.0,1.0,0.0
1998,CYP,Cyprus,173660.0,0.957362711429596,0.22217273712158203,8294.0,12854965.979,3.0,1.0,0.0
1998,CZE,Czechia,497417.0,0.957362711429596,0.8995689749717712,9040.0,153024472.851,3.0,1.0,0.0
1998,DNK,Denmark,5365738.0,0.957362711429596,1.4319663047790527,8847.0,136782028.367,3.0,1.0,0.0
1998,EST,Estonia,6945.0,0.957362711429596,0.6570506691932678,8011.0,11584232.684,3.0,1.0,0.0
1998,FJI,Fiji,10659.0,0.957362711429596,0.8562746047973633,7805.0,3863992.994,3.0,1.0,0.0
1998,FIN,Finland,904831.0,0.957362711429596,1.4733878374099731,7975.0,121285577.553,3.0,1.0,0.0
1998,FRA,France,101648528.0,0.957362711429596,0.6988887786865234,9846.0,1411612661.936,3.0,1.0,0.0
1998,DEU,Germany,94891048.0,0.957362711429596,1.2421478033065796,8970.0,2081273866.696,3.0,1.0,0.0
1998,GRC,Greece,1019449.0,0.957362711429596,0.771396815776825,8974.0,193131757.855,3.0,1.0,0.0
1998,GTM,Guatemala,1317.0,0.957362711429596,-0.6697198152542114,14424.0,50177023.737,3.0,1.0,0.0
1998,HKG,"China, Hong Kong SAR",2282342400.0,0.957362711429596,0.7010601758956909,801.0,156809861.591,3.0,1.0,0.0
1998,HUN,Hungary,472176.0,0.957362711429596,1.219403624534607,8871.0,106543783.305,3.0,1.0,0.0
1998,ISL,Iceland,8024.0,0.957362711429596,1.3771053552627563,9622.0,7830116.243,3.0,1.0,0.0
1998,IRN,Iran,1315898.0,0.957362711429596,-0.6933910846710205,6699.0,554232083.795,3.0,1.0,0.0
1998,IRL,Ireland,44906792.0,0.957362711429596,1.512910008430481,9975.0,92974141.622,3.0,1.0,0.0
1998,ISR,Israel,4529767.0,0.957362711429596,-1.1227145195007324,8287.0,131553293.315,3.0,1.0,0.0
1998,ITA,Italy,5943788.0,0.957362711429596,1.192702293395996,9624.0,1418204332.676,3.0,1.0,0.0
1998,CIV,Côte d'Ivoire,2484.0,0.957362711429596,-0.20381462574005127,13244.0,37726550.584,3.0,1.0,0.0
1998,JPN,Japan,955076416.0,0.957362711429596,1.247674822807312,2109.0,3167808695.973,3.0,1.0,0.0
1998,JOR,Jordan,19579.0,0.957362711429596,0.07521262019872665,8189.0,26143107.994,3.0,1.0,0.0
1998,KEN,Kenya,146892.0,0.957362711429596,-0.9076938629150391,9536.0,49732342.814,3.0,1.0,0.0
1998,KOR,Rep. of Korea,458431456.0,0.957362711429596,0.5138727426528931,1487.0,676192144.125,3.0,1.0,0.0
1998,KWT,Kuwait,41077.0,0.957362711429596,0.45511338114738464,7175.0,106446464.566,3.0,1.0,0.0
1998,LBN,Lebanon,133209.0,0.957362711429596,-0.7523152828216553,8157.0,30686430.281,3.0,1.0,0.0
1998,LVA,Latvia,778.0,0.957362711429596,0.033770300447940826,8140.0,17037554.366,3.0,1.0,0.0
1998,LTU,Lithuania,26437.0,0.957362711429596,0.42965859174728394,8157.0,27525353.193,3.0,1.0,0.0
1998,MAC,"China, Macao SAR",3620381.0,0.957362711429596,0.27414897084236145,866.0,13359683.08,3.0,1.0,0.0
1998,MDG,Madagascar,32454.0,0.957362711429596,0.19696219265460968,9363.0,15850726.149,3.0,1.0,0.0
1998,MYS,Malaysia,347953728.0,0.957362711429596,-0.038123466074466705,3217.0,249828049.389,3.0,1.0,0.0
1998,MLI,Mali,194500.0,0.957362711429596,0.42693576216697693,13137.0,11593733.38,3.0,1.0,0.0
1998,MLT,Malta,6287.0,0.957362711429596,1.426385521888733,9809.0,6107726.754,3.0,1.0,0.0
1998,MUS,Mauritius,136443.0,0.957362711429596,0.9679560661315918,8536.0,8970339.845,3.0,1.0,0.0
1998,MEX,Mexico,13297437.0,0.957362711429596,-0.423062264919281,13422.0,923156591.59,3.0,1.0,0.0
1998,MDA,Rep. of Moldova,628.0,0.957362711429596,0.3892403542995453,8207.0,6535169.731,3.0,1.0,0.0
1998,MAR,Morocco,18622.0,0.957362711429596,0.3076983690261841,11584.0,96893013.106,3.0,1.0,0.0
1998,OMN,Oman,808.0,0.957362711429596,0.8549533486366272,6323.0,72302315.36,3.0,1.0,0.0
1998,NLD,Netherlands,826293824.0,0.957362711429596,1.5948034524917603,9468.0,429289587.841,3.0,1.0,0.0
1998,NZL,New Zealand,2481404.0,0.957362711429596,1.3163301944732666,8838.0,73736364.163,3.0,1.0,0.0
1998,NGA,Nigeria,7724.0,0.957362711429596,-0.5882437229156494,12479.0,251372954.483,3.0,1.0,0.0
1998,NOR,Norway,78563.0,0.957362711429596,1.4396612644195557,8707.0,124779459.478,3.0,1.0,0.0
1998,PAK,Pakistan,71588.0,0.957362711429596,-1.1241204738616943,5452.0,341925388.058,3.0,1.0,0.0
1998,PAN,Panama,59910.0,0.957362711429596,0.3705742359161377,15615.0,22909265.528,3.0,1.0,0.0
1998,PNG,Papua New Guinea,22575.0,0.957362711429596,-0.1068665087223053,4724.0,7671511.756,3.0,1.0,0.0
1998,PRY,Paraguay,10687.0,0.957362711429596,-0.7465035915374756,19930.0,25561535.666,3.0,1.0,0.0
1998,PHL,Philippines,189874496.0,0.957362711429596,-0.25705915689468384,1153.0,233644596.803,3.0,1.0,0.0
1998,POL,Poland,733117.0,0.957362711429596,0.8385974168777466,8521.0,365826407.97,3.0,1.0,0.0
1998,PRT,Portugal,933965.0,0.957362711429596,1.3690905570983887,11283.0,169416927.518,3.0,1.0,0.0
1998,RUS,Russian Federation,221234.0,0.957362711429596,-1.0897409915924072,7368.0,806334398.184,3.0,1.0,0.0
1998,SAU,Saudi Arabia,1040317.0,0.957362711429596,0.11022909730672836,7446.0,671583518.851,3.0,1.0,0.0
1998,IND,India,21820456.0,0.957362711429596,-1.2008212804794312,5032.0,1774393457.914,3.0,1.0,0.0
1998,SGP,Singapore,1099649920.0,0.957362711429596,0.9301015734672546,3236.0,137577513.858,3.0,1.0,0.0
